EMPLOYEE_ID,FIRST_NAME,LAST_NAME,EMAIL,PHONE_NUMBER,HIRE_DATE,JOB_ID,YEAR_OF_EXP,EDUCATION_LEVEL,EDUCATION,CERTIFICATION,COMMISSION_PCT,MANAGER_ID,DEPARTMENT_ID,AGE,SALARY
198,Donald,OConnell,DOCONNEL,650.507.9833,21-Jun-07,SH_CLERK,1,MASTER,3,3, - ,124,50,30,2600
199,Douglas,Grant,DGRANT,650.507.9844,13-Jan-08,SH_CLERK,2,BACHELOR,2,4, - ,124,50,35,2600
200,Jennifer,Whalen,JWHALEN,515.123.4444,17-Sep-03,AD_ASST,9,BACHELOR,2,3, - ,101,10,40,4400
201,Michael,Hartstein,MHARTSTE,515.123.5555,17-Feb-04,MK_MAN,6,BACHELOR,2,1, - ,100,20,45,13000
202,Pat,Fay,PFAY,603.123.6666,17-Aug-05,MK_REP,7,PHD,13,4, - ,201,20,50,6000
203,Susan,Mavris,SMAVRIS,515.123.7777,7-Jun-02,HR_REP,8,HIGH_SCHOOL,1,2, - ,101,40,55,6500
204,Hermann,Baer,HBAER,515.123.8888,7-Jun-02,PR_REP,5,PHD,4,2, - ,101,70,60,10000
205,Shelley,Higgins,SHIGGINS,515.123.8080,7-Jun-02,AC_MGR,1,PHD,11,30, - ,101,110,65,12008
206,William,Gietz,WGIETZ,515.123.8181,7-Jun-02,AC_ACCOUNT,6,HIGH_SCHOOL,1,1, - ,205,110,70,8300
100,Steven,King,SKING,515.123.4567,17-Jun-03,AD_PRES,3,HIGH_SCHOOL,1,4, - , - ,90,75,24000
101,Neena,Kochhar,NKOCHHAR,515.123.4568,21-Sep-05,AD_VP,,BACHELOR,2,3, - ,100,90,80,17000
102,Lex,De Haan,LDEHAAN,515.123.4569,13-Jan-01,AD_VP,,BACHELOR,2,2, - ,100,90,222,17000
103,Alexander,Hunold,AHUNOLD,590.423.4567,3-Jan-06,IT_PROG,3,PHD,4,1, - ,102,60,24,9000
104,Bruce,Ernst,BERNST,590.423.4568,21-May-07,IT_PROG,8,BACHELOR,2,4, - ,103,60,26,6000
105,David,Austin,DAUSTIN,590.423.4569,25-Jun-05,IT_PROG,2,HIGH_SCHOOL,1,1, - ,103,60,28,4800
106,Valli,Pataballa,VPATABAL,590.423.4560,5-Feb-06,IT_PROG,10,HIGH_SCHOOL,1,1, - ,103,60,30,4800
107,Diana,Lorentz,DLORENTZ,590.423.5567,7-Feb-07,IT_PROG,70,BACHELOR,2,1, - ,103,60,32,4200
108,Nancy,Greenberg,NGREENBE,515.124.4569,17-Aug-02,FI_MGR,8,BACHELOR,2,1, - ,101,100,22,12008
109,Daniel,Faviet,DFAVIET,515.124.4169,16-Aug-02,FI_ACCOUNT,8,PHD,4,2, - ,108,100,22,9000
110,John,Chen,JCHEN,515.124.4269,28-Sep-05,FI_ACCOUNT,10,PHD,,4, - ,108,100,22,8200
111,Ismael,Sciarra,ISCIARRA,515.124.4369,30-Sep-05,FI_ACCOUNT,6,PHD,,2, - ,108,100,22,7700
112,Jose Manuel,Urman,JMURMAN,515.124.4469,7-Mar-06,FI_ACCOUNT,10,PHD,,4, - ,108,100,22,7800
113,Luis,Popp,LPOPP,515.124.4567,7-Dec-07,FI_ACCOUNT,8,PHD,4,1, - ,108,100,22,6900
114,Den,Raphaely,DRAPHEAL,515.127.4561,7-Dec-02,PU_MAN,3,HIGH_SCHOOL,1,1, - ,100,30,22,11000
115,Alexander,Khoo,AKHOO,515.127.4562,18-May-03,PU_CLERK,3,HIGH_SCHOOL,1,4, - ,114,30,60,3100
116,Shelli,Baida,SBAIDA,515.127.4563,24-Dec-05,PU_CLERK,1,HIGH_SCHOOL,1,, - ,114,30,65,2900
117,Sigal,Tobias,STOBIAS,515.127.4564,24-Jul-05,PU_CLERK,5,HIGH_SCHOOL,1,, - ,114,30,70,2800
118,Guy,Himuro,GHIMURO,515.127.4565,15-Nov-06,PU_CLERK,8,MASTER,3,, - ,114,30,75,2600
119,Karen,Colmenares,KCOLMENA,515.127.4566,10-Aug-07,PU_CLERK,1,MASTER,3,4, - ,114,30,80,2500
120,Matthew,Weiss,MWEISS,650.123.1234,18-Jul-04,ST_MAN,7,BACHELOR,2,2, - ,100,50,22,8000
121,Adam,Fripp,AFRIPP,650.123.2234,10-Apr-05,ST_MAN,7,PHD,4,1, - ,100,50,24,8200
122,Payam,Kaufling,PKAUFLIN,650.123.3234,1-May-03,ST_MAN,9,MASTER,3,2, - ,100,50,26,7900
123,Shanta,Vollman,SVOLLMAN,650.123.4234,10-Oct-05,ST_MAN,8,HIGH_SCHOOL,1,2, - ,100,50,28,6500
124,Kevin,Mourgos,KMOURGOS,650.123.5234,16-Nov-07,ST_MAN,4,MASTER,3,3, - ,100,50,30,5800
125,Julia,Nayer,JNAYER,650.124.1214,16-Jul-05,ST_CLERK,,PHD,4,3, - ,120,50,32,3200
126,Irene,Mikkilineni,IMIKKILI,650.124.1224,28-Sep-06,ST_CLERK,,BACHELOR,2,2, - ,120,50,34,2700
127,James,Landry,JLANDRY,650.124.1334,14-Jan-07,ST_CLERK,,HIGH_SCHOOL,1,4, - ,120,50,22,2400
128,Steven,Markle,SMARKLE,650.124.1434,8-Mar-08,ST_CLERK,2,PHD,4,4, - ,120,50,24,2200
129,Laura,Bissot,LBISSOT,650.124.5234,20-Aug-05,ST_CLERK,6,BACHELOR,2,4, - ,121,50,26,3300
130,Mozhe,Atkinson,MATKINSO,650.124.6234,30-Oct-05,ST_CLERK,8,HIGH_SCHOOL,1,, - ,121,50,28,2800
131,James,Marlow,JAMRLOW,650.124.7234,16-Feb-05,ST_CLERK,5,PHD,4,3, - ,121,50,30,2500
132,TJ,Olson,TJOLSON,650.124.8234,10-Apr-07,ST_CLERK,6,PHD,,1, - ,121,50,32,2100
133,Jason,Mallin,JMALLIN,650.127.1934,14-Jun-04,ST_CLERK,8,PHD,4,2, - ,122,50,34,3300
134,Michael,Rogers,MROGERS,650.127.1834,26-Aug-06,ST_CLERK,2,HIGH_SCHOOL,1,4, - ,122,50,50,2900
135,Ki,Gee,KGEE,650.127.1734,12-Dec-07,ST_CLERK,2,BACHELOR,2,2, - ,122,50,55,2400
136,Hazel,Philtanker,HPHILTAN,650.127.1634,6-Feb-08,ST_CLERK,1,BACHELOR,2,3, - ,122,50,60,2200
137,Renske,Ladwig,RLADWIG,650.121.1234,14-Jul-03,ST_CLERK,8,HIGH_SCHOOL,1,2, - ,123,50,65,3600
138,Stephen,Stiles,SSTILES,650.121.2034,26-Oct-05,ST_CLERK,9,MASTER,3,1, - ,123,50,70,3200
139,John,Seo,JSEO,650.121.2019,12-Feb-06,ST_CLERK,5,BACHELOR,2,3, - ,123,50,75,2700
140,Joshua,Patel,JPATEL,650.121.1834,6-Apr-06,ST_CLERK,1,HIGH_SCHOOL,1,1, - ,123,50,80,2500
